Country,first_year_train,last_year_train,Sex,max_age,nn_layers,latent_dim,Forecast horizon,Log score,Date,Time,Model
sweden,1922,1981,Male,100,1,5,10,350.0742933516608,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,4,1,353.02479517162726,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,4,2,353.3106435028441,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,4,3,352.32310983207054,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,4,4,352.3225946700619,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,4,5,353.48715895193027,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,4,6,352.8781392394048,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,4,7,353.8736997864853,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,4,8,351.11894571489114,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,4,9,351.47497838560577,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,4,10,350.0742933516608,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,3,1,353.02479517162726,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,3,2,353.3106435028441,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,3,3,352.32310983207054,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,3,4,352.3225946700619,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,3,5,353.48715895193027,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,3,6,352.8781392394048,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,3,7,353.8736997864853,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,3,8,351.11894571489114,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,3,9,351.47497838560577,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,3,10,350.0742933516608,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,6,1,353.02479517162726,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,6,2,353.3106435028441,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,6,3,352.32310983207054,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,6,4,352.3225946700619,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,6,5,353.48715895193027,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,6,6,352.8781392394048,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,6,7,353.8736997864853,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,6,8,351.11894571489114,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,6,9,351.47497838560577,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,6,10,350.0742933516608,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,7,1,353.02479517162726,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,7,2,353.3106435028441,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,7,3,352.32310983207054,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,7,4,352.3225946700619,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,7,5,353.48715895193027,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,7,6,352.8781392394048,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,7,7,353.8736997864853,09/03/2023,17:03:24,saturated
sweden,1922,1981,Male,100,1,7,8,351.11894571489114,09/03/2023,17:03:24,saturated
