country,first_year_train,last_year_train,sex,max_age,num_basis,tau,latent_dim,forecast_horizon,log_score,date,time,model
sweden,1933,1992,Male,100,10,10.0,3,3,437.8975177199365,15/03/2023,18:18:55,radial_basis
sweden,1933,1992,Male,100,10,10.0,3,4,451.29345254675303,15/03/2023,18:18:55,radial_basis
sweden,1933,1992,Male,100,10,10.0,3,5,456.9739048884153,15/03/2023,18:18:55,radial_basis
sweden,1933,1992,Male,100,10,10.0,3,6,457.2841463141903,15/03/2023,18:18:55,radial_basis
sweden,1933,1992,Male,100,10,10.0,3,7,460.62338924305504,15/03/2023,18:18:55,radial_basis
sweden,1933,1992,Male,100,10,10.0,3,8,484.0774796006407,15/03/2023,18:18:55,radial_basis
sweden,1933,1992,Male,100,10,10.0,3,9,485.23316032678224,15/03/2023,18:18:55,radial_basis
sweden,1933,1992,Male,100,10,10.0,3,10,491.63501020922115,15/03/2023,18:18:55,radial_basis
sweden,1933,1992,Male,100,10,10.0,4,1,423.7891860922685,15/03/2023,18:19:30,radial_basis
sweden,1933,1992,Male,100,10,10.0,4,2,445.4689042169503,15/03/2023,18:19:30,radial_basis
sweden,1933,1992,Male,100,10,10.0,4,3,437.42837548728625,15/03/2023,18:19:30,radial_basis
sweden,1933,1992,Male,100,10,10.0,4,4,454.34014298373995,15/03/2023,18:19:30,radial_basis
sweden,1933,1992,Male,100,10,10.0,4,5,461.76188232881833,15/03/2023,18:19:30,radial_basis
sweden,1933,1992,Male,100,10,10.0,4,6,464.5362416208749,15/03/2023,18:19:30,radial_basis
sweden,1933,1992,Male,100,10,10.0,4,7,474.0734359426541,15/03/2023,18:19:30,radial_basis
sweden,1933,1992,Male,100,10,10.0,4,8,500.80430531414993,15/03/2023,18:19:30,radial_basis
sweden,1933,1992,Male,100,10,10.0,4,9,506.7711987440321,15/03/2023,18:19:30,radial_basis
sweden,1933,1992,Male,100,10,10.0,4,10,510.61301873184755,15/03/2023,18:19:30,radial_basis
sweden,1934,1993,Male,100,15,10.0,3,1,430.44206839958485,15/03/2023,18:23:34,radial_basis
sweden,1934,1993,Male,100,15,10.0,3,2,414.8560109991238,15/03/2023,18:23:34,radial_basis
sweden,1934,1993,Male,100,15,10.0,3,3,429.34143746436513,15/03/2023,18:23:34,radial_basis
sweden,1934,1993,Male,100,15,10.0,3,4,442.0181059534638,15/03/2023,18:23:34,radial_basis
sweden,1934,1993,Male,100,15,10.0,3,5,440.9556695304576,15/03/2023,18:23:34,radial_basis
sweden,1934,1993,Male,100,15,10.0,3,6,448.8873932063875,15/03/2023,18:23:34,radial_basis
sweden,1934,1993,Male,100,15,10.0,3,7,476.0613489271687,15/03/2023,18:23:34,radial_basis
sweden,1934,1993,Male,100,15,10.0,3,8,483.86336439613643,15/03/2023,18:23:34,radial_basis
sweden,1934,1993,Male,100,15,10.0,3,9,490.14720450119216,15/03/2023,18:23:34,radial_basis
sweden,1934,1993,Male,100,15,10.0,3,10,488.1164525956365,15/03/2023,18:23:34,radial_basis
sweden,1933,1992,Male,100,15,10.0,3,1,440.5675034197952,15/03/2023,18:23:42,radial_basis
sweden,1933,1992,Male,100,15,10.0,3,2,469.5638776908219,15/03/2023,18:23:42,radial_basis
sweden,1933,1992,Male,100,15,10.0,3,3,437.0114697320835,15/03/2023,18:23:42,radial_basis
sweden,1933,1992,Male,100,15,10.0,3,4,456.2906878159762,15/03/2023,18:23:42,radial_basis
sweden,1933,1992,Male,100,15,10.0,3,5,467.78172925497336,15/03/2023,18:23:42,radial_basis
sweden,1933,1992,Male,100,15,10.0,3,6,459.56026300653593,15/03/2023,18:23:42,radial_basis
sweden,1933,1992,Male,100,15,10.0,3,7,468.85504781199745,15/03/2023,18:23:42,radial_basis
sweden,1933,1992,Male,100,15,10.0,3,8,491.6796198392867,15/03/2023,18:23:42,radial_basis
sweden,1933,1992,Male,100,15,10.0,3,9,508.722734968521,15/03/2023,18:23:42,radial_basis
sweden,1933,1992,Male,100,15,10.0,3,10,507.4352954355766,15/03/2023,18:23:42,radial_basis
sweden,1934,1993,Male,100,15,10.0,4,1,448.95570008028386,15/03/2023,18:29:11,radial_basis
sweden,1934,1993,Male,100,15,10.0,4,2,432.3096130408068,15/03/2023,18:29:11,radial_basis
sweden,1934,1993,Male,100,15,10.0,4,3,444.6431209235122,15/03/2023,18:29:11,radial_basis
sweden,1934,1993,Male,100,15,10.0,4,4,455.4901161359375,15/03/2023,18:29:11,radial_basis
sweden,1934,1993,Male,100,15,10.0,4,5,468.61248619935145,15/03/2023,18:29:11,radial_basis
sweden,1934,1993,Male,100,15,10.0,4,6,474.3666937808917,15/03/2023,18:29:11,radial_basis
sweden,1934,1993,Male,100,15,10.0,4,7,505.786965292477,15/03/2023,18:29:11,radial_basis
sweden,1934,1993,Male,100,15,10.0,4,8,503.87774283497765,15/03/2023,18:29:11,radial_basis
sweden,1934,1993,Male,100,15,10.0,4,9,508.3838895704369,15/03/2023,18:29:11,radial_basis
sweden,1934,1993,Male,100,15,10.0,4,10,510.1192835592606,15/03/2023,18:29:11,radial_basis
sweden,1934,1993,Male,100,10,10.0,3,1,438.7151241121673,15/03/2023,18:32:01,radial_basis
sweden,1934,1993,Male,100,10,10.0,3,2,421.3543262799102,15/03/2023,18:32:01,radial_basis
sweden,1934,1993,Male,100,10,10.0,3,3,428.1339227618735,15/03/2023,18:32:01,radial_basis
sweden,1934,1993,Male,100,10,10.0,3,4,437.21439752025896,15/03/2023,18:32:01,radial_basis
sweden,1934,1993,Male,100,10,10.0,3,5,438.8861265629618,15/03/2023,18:32:01,radial_basis
sweden,1934,1993,Male,100,10,10.0,3,6,443.613216599137,15/03/2023,18:32:01,radial_basis
sweden,1934,1993,Male,100,10,10.0,3,7,471.00513684070694,15/03/2023,18:32:01,radial_basis
sweden,1934,1993,Male,100,10,10.0,3,8,476.8710536046846,15/03/2023,18:32:01,radial_basis
sweden,1934,1993,Male,100,10,10.0,3,9,481.2802721297502,15/03/2023,18:32:01,radial_basis
sweden,1934,1993,Male,100,10,10.0,3,10,471.2832252767063,15/03/2023,18:32:01,radial_basis
sweden,1934,1993,Male,100,10,10.0,4,1,439.05400788774267,15/03/2023,18:35:42,radial_basis
sweden,1934,1993,Male,100,10,10.0,4,2,426.4817594369277,15/03/2023,18:35:42,radial_basis
sweden,1934,1993,Male,100,10,10.0,4,3,439.60876335610027,15/03/2023,18:35:42,radial_basis
sweden,1934,1993,Male,100,10,10.0,4,4,449.3623641025714,15/03/2023,18:35:42,radial_basis
sweden,1934,1993,Male,100,10,10.0,4,5,454.74205549204424,15/03/2023,18:35:42,radial_basis
sweden,1934,1993,Male,100,10,10.0,4,6,462.12121776226707,15/03/2023,18:35:42,radial_basis
sweden,1934,1993,Male,100,10,10.0,4,7,485.88806049309545,15/03/2023,18:35:42,radial_basis
