Country,first_year_train,last_year_train,Sex,max_age,nn_layers,latent_dim,Forecast horizon,Log score,Date,Time
sweden,1933,1992,Male,100,1,4,6,783.3473742275635,11/03/2023,09:40:58
sweden,1933,1992,Male,100,1,4,7,791.2719516018757,11/03/2023,09:40:58
sweden,1933,1992,Male,100,1,4,8,803.682365543153,11/03/2023,09:40:58
sweden,1933,1992,Male,100,1,4,9,797.7107565537983,11/03/2023,09:40:58
sweden,1933,1992,Male,100,1,4,10,812.0323558538772,11/03/2023,09:40:58
sweden,1934,1993,Male,100,1,4,1,743.610267570168,11/03/2023,09:41:10
sweden,1934,1993,Male,100,1,4,2,742.6641775908895,11/03/2023,09:41:10
sweden,1934,1993,Male,100,1,4,3,755.3433886342473,11/03/2023,09:41:10
sweden,1934,1993,Male,100,1,4,4,813.9285795120857,11/03/2023,09:41:10
sweden,1934,1993,Male,100,1,4,5,828.2275283179954,11/03/2023,09:41:10
sweden,1934,1993,Male,100,1,4,6,829.4705347600919,11/03/2023,09:41:10
sweden,1934,1993,Male,100,1,4,7,841.708587274869,11/03/2023,09:41:10
sweden,1934,1993,Male,100,1,4,8,832.0632655047859,11/03/2023,09:41:10
sweden,1934,1993,Male,100,1,4,9,838.5131501653651,11/03/2023,09:41:10
sweden,1934,1993,Male,100,1,4,10,848.7989719627367,11/03/2023,09:41:10
sweden,1933,1992,Male,100,1,6,1,736.7680656912098,11/03/2023,09:41:42
sweden,1933,1992,Male,100,1,6,2,727.8812270798626,11/03/2023,09:41:42
sweden,1933,1992,Male,100,1,6,3,743.8409876228893,11/03/2023,09:41:42
sweden,1933,1992,Male,100,1,6,4,732.1164495370422,11/03/2023,09:41:42
sweden,1933,1992,Male,100,1,6,5,761.8471838273,11/03/2023,09:41:42
sweden,1933,1992,Male,100,1,6,6,782.4708982888664,11/03/2023,09:41:42
sweden,1933,1992,Male,100,1,6,7,790.0477744283994,11/03/2023,09:41:42
sweden,1933,1992,Male,100,1,6,8,798.6718964188261,11/03/2023,09:41:42
sweden,1933,1992,Male,100,1,6,9,797.3155171055729,11/03/2023,09:41:42
sweden,1933,1992,Male,100,1,6,10,806.287827830807,11/03/2023,09:41:42
sweden,1935,1994,Male,100,1,5,1,682.7146464309121,11/03/2023,09:41:50
sweden,1935,1994,Male,100,1,5,2,776.886006067883,11/03/2023,09:41:50
sweden,1935,1994,Male,100,1,5,3,933.3676644877808,11/03/2023,09:41:50
sweden,1935,1994,Male,100,1,5,4,883.8853153395,11/03/2023,09:41:50
sweden,1935,1994,Male,100,1,5,5,847.5440770636541,11/03/2023,09:41:50
sweden,1935,1994,Male,100,1,5,6,842.0093880838521,11/03/2023,09:41:50
sweden,1935,1994,Male,100,1,5,7,820.0200103613155,11/03/2023,09:41:50
sweden,1935,1994,Male,100,1,5,8,816.5847384067013,11/03/2023,09:41:50
sweden,1935,1994,Male,100,1,5,9,824.3161885652992,11/03/2023,09:41:50
sweden,1935,1994,Male,100,1,5,10,846.7037332646546,11/03/2023,09:41:50
sweden,1934,1993,Male,100,1,7,1,683.3076835791536,11/03/2023,09:42:53
sweden,1934,1993,Male,100,1,7,2,708.816717650463,11/03/2023,09:42:53
sweden,1934,1993,Male,100,1,7,3,763.762813808531,11/03/2023,09:42:53
sweden,1934,1993,Male,100,1,7,4,833.2532087572031,11/03/2023,09:42:53
sweden,1934,1993,Male,100,1,7,5,845.8928061393804,11/03/2023,09:42:53
sweden,1934,1993,Male,100,1,7,6,837.1224064890166,11/03/2023,09:42:53
sweden,1934,1993,Male,100,1,7,7,840.4576076270699,11/03/2023,09:42:53
sweden,1934,1993,Male,100,1,7,8,829.3586929746346,11/03/2023,09:42:53
sweden,1934,1993,Male,100,1,7,9,831.0741936017172,11/03/2023,09:42:53
sweden,1934,1993,Male,100,1,7,10,839.0679828154442,11/03/2023,09:42:53
sweden,1934,1993,Male,100,1,5,1,689.9887283719623,11/03/2023,09:43:17
sweden,1934,1993,Male,100,1,5,2,711.9118277473242,11/03/2023,09:43:17
sweden,1934,1993,Male,100,1,5,3,746.5569169961713,11/03/2023,09:43:17
sweden,1934,1993,Male,100,1,5,4,808.3738628505362,11/03/2023,09:43:17
sweden,1934,1993,Male,100,1,5,5,827.7777169729171,11/03/2023,09:43:17
sweden,1934,1993,Male,100,1,5,6,821.1546299870191,11/03/2023,09:43:17
sweden,1934,1993,Male,100,1,5,7,825.9886146520408,11/03/2023,09:43:17
sweden,1934,1993,Male,100,1,5,8,820.1435270449863,11/03/2023,09:43:17
sweden,1934,1993,Male,100,1,5,9,821.8243390869441,11/03/2023,09:43:17
sweden,1934,1993,Male,100,1,5,10,833.7352155730755,11/03/2023,09:43:17
sweden,1933,1992,Male,100,1,7,1,730.2650180385308,11/03/2023,09:43:29
sweden,1933,1992,Male,100,1,7,2,720.6364022972627,11/03/2023,09:43:29
sweden,1933,1992,Male,100,1,7,3,737.2292744712256,11/03/2023,09:43:29
sweden,1933,1992,Male,100,1,7,4,735.2322041613883,11/03/2023,09:43:29
sweden,1933,1992,Male,100,1,7,5,762.2734086226775,11/03/2023,09:43:29
sweden,1933,1992,Male,100,1,7,6,776.1664853977238,11/03/2023,09:43:29
sweden,1933,1992,Male,100,1,7,7,787.432142129947,11/03/2023,09:43:29
sweden,1933,1992,Male,100,1,7,8,796.278765889998,11/03/2023,09:43:29
sweden,1933,1992,Male,100,1,7,9,792.970636901489,11/03/2023,09:43:29
sweden,1933,1992,Male,100,1,7,10,806.0362149779739,11/03/2023,09:43:29
sweden,1935,1994,Male,100,1,6,1,677.7051713068898,11/03/2023,09:43:37
sweden,1935,1994,Male,100,1,6,2,773.5825206755406,11/03/2023,09:43:37
sweden,1935,1994,Male,100,1,6,3,908.3417572984765,11/03/2023,09:43:37
sweden,1935,1994,Male,100,1,6,4,1136.345818027579,11/03/2023,09:43:37
sweden,1935,1994,Male,100,1,6,5,1097.4026602353201,11/03/2023,09:43:37
sweden,1935,1994,Male,100,1,6,6,1010.1405668818597,11/03/2023,09:43:37
sweden,1935,1994,Male,100,1,6,7,844.5411401262381,11/03/2023,09:43:37
sweden,1935,1994,Male,100,1,6,8,860.2602075324857,11/03/2023,09:43:37
sweden,1935,1994,Male,100,1,6,9,856.8070857902861,11/03/2023,09:43:37
sweden,1935,1994,Male,100,1,6,10,880.5525662328829,11/03/2023,09:43:37
sweden,1935,1994,Male,100,1,3,1,870.8222459107062,11/03/2023,09:45:46
sweden,1935,1994,Male,100,1,3,2,828.8604297203997,11/03/2023,09:45:46
sweden,1935,1994,Male,100,1,3,3,887.7188484801235,11/03/2023,09:45:46
sweden,1935,1994,Male,100,1,3,4,898.1676546538472,11/03/2023,09:45:46
sweden,1935,1994,Male,100,1,3,5,941.6544754529166,11/03/2023,09:45:46
sweden,1935,1994,Male,100,1,3,6,924.7934726488204,11/03/2023,09:45:46
sweden,1935,1994,Male,100,1,3,7,868.8853815832645,11/03/2023,09:45:46
sweden,1935,1994,Male,100,1,3,8,937.3685799223729,11/03/2023,09:45:46
sweden,1935,1994,Male,100,1,3,9,892.8047847137631,11/03/2023,09:45:46
sweden,1935,1994,Male,100,1,3,10,873.6915386676164,11/03/2023,09:45:46
sweden,1936,1995,Male,100,1,3,1,833.7686934736577,11/03/2023,09:45:55
sweden,1936,1995,Male,100,1,3,2,990.498467476074,11/03/2023,09:45:55
sweden,1936,1995,Male,100,1,3,3,921.5424993171958,11/03/2023,09:45:55
sweden,1936,1995,Male,100,1,3,4,924.7961434567738,11/03/2023,09:45:55
sweden,1936,1995,Male,100,1,3,5,899.2543279755214,11/03/2023,09:45:55
sweden,1936,1995,Male,100,1,3,6,844.4922320140709,11/03/2023,09:45:55
sweden,1936,1995,Male,100,1,3,7,880.6546879146815,11/03/2023,09:45:55
sweden,1936,1995,Male,100,1,3,8,863.6237909988317,11/03/2023,09:45:55
sweden,1936,1995,Male,100,1,3,9,855.4989171558673,11/03/2023,09:45:55
sweden,1936,1995,Male,100,1,3,10,865.6299321352196,11/03/2023,09:45:55
sweden,1936,1995,Male,100,1,6,1,840.9227172379348,12/03/2023,03:49:51
sweden,1936,1995,Male,100,1,6,2,1150.4698505113847,12/03/2023,03:49:51
sweden,1936,1995,Male,100,1,6,3,1148.6401723894267,12/03/2023,03:49:51
sweden,1936,1995,Male,100,1,6,4,997.888042631426,12/03/2023,03:49:51
sweden,1936,1995,Male,100,1,6,5,887.5381655139907,12/03/2023,03:49:51
sweden,1936,1995,Male,100,1,6,6,814.5188927164685,12/03/2023,03:49:51
sweden,1936,1995,Male,100,1,6,7,812.4208183544521,12/03/2023,03:49:51
sweden,1936,1995,Male,100,1,6,8,816.3777362675381,12/03/2023,03:49:51
sweden,1936,1995,Male,100,1,6,9,836.6758296887396,12/03/2023,03:49:51
sweden,1936,1995,Male,100,1,6,10,833.9132910182088,12/03/2023,03:49:51
sweden,1936,1995,Male,100,1,7,1,815.7000627937225,12/03/2023,03:50:45
sweden,1936,1995,Male,100,1,7,2,1010.4678396861345,12/03/2023,03:50:45
sweden,1936,1995,Male,100,1,7,3,1101.4358960157774,12/03/2023,03:50:45
sweden,1936,1995,Male,100,1,7,4,969.2710848581638,12/03/2023,03:50:45
sweden,1936,1995,Male,100,1,7,5,887.2629182232139,12/03/2023,03:50:45
sweden,1936,1995,Male,100,1,7,6,833.4397481758014,12/03/2023,03:50:45
sweden,1936,1995,Male,100,1,7,7,825.0140755507069,12/03/2023,03:50:45
sweden,1936,1995,Male,100,1,7,8,832.8279200945346,12/03/2023,03:50:45
sweden,1936,1995,Male,100,1,7,9,858.5803291429695,12/03/2023,03:50:45
sweden,1936,1995,Male,100,1,7,10,853.0093100425845,12/03/2023,03:50:45
sweden,1936,1995,Male,100,1,4,1,773.4170305088672,12/03/2023,03:51:09
sweden,1936,1995,Male,100,1,4,2,929.2230702961444,12/03/2023,03:51:09
sweden,1936,1995,Male,100,1,4,3,859.1232222238516,12/03/2023,03:51:09
sweden,1936,1995,Male,100,1,4,4,817.0610743415244,12/03/2023,03:51:09
sweden,1936,1995,Male,100,1,4,5,812.215860846002,12/03/2023,03:51:09
sweden,1936,1995,Male,100,1,4,6,803.9876299100988,12/03/2023,03:51:09
sweden,1936,1995,Male,100,1,4,7,811.5757294572735,12/03/2023,03:51:09
sweden,1936,1995,Male,100,1,4,8,823.51693452573,12/03/2023,03:51:09
sweden,1936,1995,Male,100,1,4,9,861.6399493809009,12/03/2023,03:51:09
sweden,1936,1995,Male,100,1,4,10,862.0029955755881,12/03/2023,03:51:09
sweden,1936,1995,Male,100,1,5,1,834.5937872315038,12/03/2023,03:51:50
sweden,1936,1995,Male,100,1,5,2,1254.4981194414258,12/03/2023,03:51:50
sweden,1936,1995,Male,100,1,5,3,1061.3421132756696,12/03/2023,03:51:50
sweden,1936,1995,Male,100,1,5,4,1014.4876269096513,12/03/2023,03:51:50
sweden,1936,1995,Male,100,1,5,5,860.002894562626,12/03/2023,03:51:50
sweden,1936,1995,Male,100,1,5,6,838.3876834963839,12/03/2023,03:51:50
sweden,1936,1995,Male,100,1,5,7,825.2169310431422,12/03/2023,03:51:50
sweden,1936,1995,Male,100,1,5,8,834.759394129422,12/03/2023,03:51:50
sweden,1936,1995,Male,100,1,5,9,860.9765989077007,12/03/2023,03:51:50
sweden,1936,1995,Male,100,1,5,10,851.0764330168251,12/03/2023,03:51:50
sweden,1937,1996,Male,100,1,3,1,807.7633387284163,12/03/2023,03:52:09
sweden,1937,1996,Male,100,1,3,2,769.8290793439702,12/03/2023,03:52:09
sweden,1937,1996,Male,100,1,3,3,836.2491880829483,12/03/2023,03:52:09
sweden,1937,1996,Male,100,1,3,4,817.2924943420293,12/03/2023,03:52:09
sweden,1937,1996,Male,100,1,3,5,790.7550045749066,12/03/2023,03:52:09
sweden,1937,1996,Male,100,1,3,6,833.2576764735569,12/03/2023,03:52:09
sweden,1937,1996,Male,100,1,3,7,822.0263626868664,12/03/2023,03:52:09
sweden,1937,1996,Male,100,1,3,8,814.579411762714,12/03/2023,03:52:09
sweden,1937,1996,Male,100,1,3,9,833.6848265894502,12/03/2023,03:52:09
sweden,1937,1996,Male,100,1,3,10,854.8890151582941,12/03/2023,03:52:09
sweden,1937,1996,Male,100,1,6,1,807.3148489477634,12/03/2023,03:54:54
sweden,1937,1996,Male,100,1,6,2,815.0181553028076,12/03/2023,03:54:54
sweden,1937,1996,Male,100,1,6,3,789.5076201213438,12/03/2023,03:54:54
sweden,1937,1996,Male,100,1,6,4,783.7283879863188,12/03/2023,03:54:54
sweden,1937,1996,Male,100,1,6,5,778.8334095610879,12/03/2023,03:54:54
sweden,1937,1996,Male,100,1,6,6,784.7171359218364,12/03/2023,03:54:54
sweden,1937,1996,Male,100,1,6,7,800.2539172135174,12/03/2023,03:54:54
sweden,1937,1996,Male,100,1,6,8,831.8935893642514,12/03/2023,03:54:54
sweden,1937,1996,Male,100,1,6,9,837.6100787461937,12/03/2023,03:54:54
sweden,1937,1996,Male,100,1,6,10,882.1848350079216,12/03/2023,03:54:54
sweden,1937,1996,Male,100,1,4,1,782.3080042696918,12/03/2023,03:55:43
sweden,1937,1996,Male,100,1,4,2,811.131096407473,12/03/2023,03:55:43
sweden,1937,1996,Male,100,1,4,3,787.3076017365738,12/03/2023,03:55:43
sweden,1937,1996,Male,100,1,4,4,786.6827552224219,12/03/2023,03:55:43
sweden,1937,1996,Male,100,1,4,5,780.6029242915492,12/03/2023,03:55:43
sweden,1937,1996,Male,100,1,4,6,794.2310280505151,12/03/2023,03:55:43
sweden,1937,1996,Male,100,1,4,7,814.5771344267026,12/03/2023,03:55:43
sweden,1937,1996,Male,100,1,4,8,865.320749278609,12/03/2023,03:55:43
sweden,1937,1996,Male,100,1,4,9,853.8845897122454,12/03/2023,03:55:43
sweden,1937,1996,Male,100,1,4,10,907.3909883259918,12/03/2023,03:55:43
sweden,1937,1996,Male,100,1,5,1,804.0903625965068,12/03/2023,03:55:53
sweden,1937,1996,Male,100,1,5,2,796.9458045237653,12/03/2023,03:55:53
sweden,1937,1996,Male,100,1,5,3,781.257352486741,12/03/2023,03:55:53
sweden,1937,1996,Male,100,1,5,4,779.2123471308256,12/03/2023,03:55:53
sweden,1937,1996,Male,100,1,5,5,769.406352485257,12/03/2023,03:55:53
sweden,1937,1996,Male,100,1,5,6,779.8054203060841,12/03/2023,03:55:53
sweden,1937,1996,Male,100,1,5,7,788.5260185961977,12/03/2023,03:55:53
sweden,1937,1996,Male,100,1,5,8,808.0878360133383,12/03/2023,03:55:53
sweden,1937,1996,Male,100,1,5,9,814.389805545049,12/03/2023,03:55:53
sweden,1937,1996,Male,100,1,5,10,831.5150930129038,12/03/2023,03:55:53
sweden,1937,1996,Male,100,1,7,1,814.8799686078198,12/03/2023,03:56:08
sweden,1937,1996,Male,100,1,7,2,811.4768778676622,12/03/2023,03:56:08
sweden,1937,1996,Male,100,1,7,3,794.7117073915902,12/03/2023,03:56:08
sweden,1937,1996,Male,100,1,7,4,786.3228360736812,12/03/2023,03:56:08
sweden,1937,1996,Male,100,1,7,5,776.7744483132815,12/03/2023,03:56:08
sweden,1937,1996,Male,100,1,7,6,783.018948630311,12/03/2023,03:56:08
sweden,1937,1996,Male,100,1,7,7,798.6210908049312,12/03/2023,03:56:08
sweden,1937,1996,Male,100,1,7,8,825.9867271137333,12/03/2023,03:56:08
sweden,1937,1996,Male,100,1,7,9,831.1209823774932,12/03/2023,03:56:08
sweden,1937,1996,Male,100,1,7,10,850.762886816093,12/03/2023,03:56:08
sweden,1938,1997,Male,100,1,3,1,760.8015878806049,12/03/2023,03:57:02
sweden,1938,1997,Male,100,1,3,2,808.5447438597661,12/03/2023,03:57:02
sweden,1938,1997,Male,100,1,3,3,807.0190956679259,12/03/2023,03:57:02
sweden,1938,1997,Male,100,1,3,4,792.6395305868722,12/03/2023,03:57:02
sweden,1938,1997,Male,100,1,3,5,832.3128444399472,12/03/2023,03:57:02
sweden,1938,1997,Male,100,1,3,6,830.6685743251434,12/03/2023,03:57:02
sweden,1938,1997,Male,100,1,3,7,853.4018261212568,12/03/2023,03:57:02
sweden,1938,1997,Male,100,1,3,8,867.688709576509,12/03/2023,03:57:02
sweden,1938,1997,Male,100,1,3,9,933.3637953172313,12/03/2023,03:57:02
sweden,1938,1997,Male,100,1,3,10,983.0808877863519,12/03/2023,03:57:02
sweden,1938,1997,Male,100,1,4,1,737.8991359466869,12/03/2023,03:57:41
sweden,1938,1997,Male,100,1,4,2,746.2424200475338,12/03/2023,03:57:41
sweden,1938,1997,Male,100,1,4,3,757.2054985243408,12/03/2023,03:57:41
sweden,1938,1997,Male,100,1,4,4,764.7873629223085,12/03/2023,03:57:41
sweden,1938,1997,Male,100,1,4,5,783.2480382483066,12/03/2023,03:57:41
sweden,1938,1997,Male,100,1,4,6,802.374923640221,12/03/2023,03:57:41
sweden,1938,1997,Male,100,1,4,7,842.1358544802622,12/03/2023,03:57:41
