country,first_year_train,last_year_train,sex,max_age,nn_layers,latent_dim,forecast_horizon,log_score,date,time
sweden,1931,1990,Male,100,1,7,6,473.6930638492313,05/02/2023,11:35:21
sweden,1931,1990,Male,100,1,7,7,483.96032829397427,05/02/2023,11:35:21
sweden,1931,1990,Male,100,1,7,8,482.8671128759372,05/02/2023,11:35:21
sweden,1931,1990,Male,100,1,7,9,488.9946042351946,05/02/2023,11:35:21
sweden,1931,1990,Male,100,1,7,10,503.07500087738686,05/02/2023,11:35:21
sweden,1931,1990,Male,100,1,8,1,413.9185907218562,05/02/2023,11:48:29
sweden,1931,1990,Male,100,1,8,2,430.6533690406212,05/02/2023,11:48:29
sweden,1931,1990,Male,100,1,8,3,439.42699013698905,05/02/2023,11:48:29
sweden,1931,1990,Male,100,1,8,4,457.6018429367762,05/02/2023,11:48:29
sweden,1931,1990,Male,100,1,8,5,464.6191091135416,05/02/2023,11:48:29
sweden,1931,1990,Male,100,1,8,6,479.0365153211364,05/02/2023,11:48:29
sweden,1931,1990,Male,100,1,8,7,486.37192419358723,05/02/2023,11:48:29
sweden,1931,1990,Male,100,1,8,8,488.18389088595393,05/02/2023,11:48:29
sweden,1931,1990,Male,100,1,8,9,494.5210160744122,05/02/2023,11:48:29
sweden,1931,1990,Male,100,1,8,10,509.57779952583667,05/02/2023,11:48:29
sweden,1931,1990,Male,100,1,9,1,416.5384467455401,05/02/2023,11:48:30
sweden,1931,1990,Male,100,1,9,2,427.8117955404505,05/02/2023,11:48:30
sweden,1931,1990,Male,100,1,9,3,438.08487319301094,05/02/2023,11:48:30
sweden,1931,1990,Male,100,1,9,4,456.4691018424597,05/02/2023,11:48:30
sweden,1931,1990,Male,100,1,9,5,461.9925805297353,05/02/2023,11:48:30
sweden,1931,1990,Male,100,1,9,6,473.29918955896846,05/02/2023,11:48:30
sweden,1931,1990,Male,100,1,9,7,482.0436970233144,05/02/2023,11:48:30
sweden,1931,1990,Male,100,1,9,8,484.2408006716279,05/02/2023,11:48:30
sweden,1931,1990,Male,100,1,9,9,488.3996885170115,05/02/2023,11:48:30
sweden,1931,1990,Male,100,1,9,10,504.292602445013,05/02/2023,11:48:30
sweden,1932,1991,Male,100,1,2,1,481.1824924349784,05/02/2023,11:50:43
sweden,1932,1991,Male,100,1,2,2,511.8128291889453,05/02/2023,11:50:43
sweden,1932,1991,Male,100,1,2,3,559.7893048528382,05/02/2023,11:50:43
sweden,1932,1991,Male,100,1,2,4,549.1657727252851,05/02/2023,11:50:43
sweden,1932,1991,Male,100,1,2,5,593.7702951514727,05/02/2023,11:50:43
sweden,1932,1991,Male,100,1,2,6,616.1081044953547,05/02/2023,11:50:43
sweden,1932,1991,Male,100,1,2,7,633.2988615697658,05/02/2023,11:50:43
sweden,1932,1991,Male,100,1,2,8,659.3457619428091,05/02/2023,11:50:43
sweden,1932,1991,Male,100,1,2,9,716.9841569889517,05/02/2023,11:50:43
sweden,1932,1991,Male,100,1,2,10,770.6712142071182,05/02/2023,11:50:43
sweden,1932,1991,Male,100,1,1,1,540.8347840036907,05/02/2023,11:52:33
sweden,1932,1991,Male,100,1,1,2,560.6227039236115,05/02/2023,11:52:33
sweden,1932,1991,Male,100,1,1,3,686.1700606095429,05/02/2023,11:52:33
sweden,1932,1991,Male,100,1,1,4,642.9198350744089,05/02/2023,11:52:33
sweden,1932,1991,Male,100,1,1,5,691.033975023804,05/02/2023,11:52:33
sweden,1932,1991,Male,100,1,1,6,725.1272367110249,05/02/2023,11:52:33
sweden,1932,1991,Male,100,1,1,7,753.1605136756677,05/02/2023,11:52:33
sweden,1932,1991,Male,100,1,1,8,785.7395006464278,05/02/2023,11:52:33
sweden,1932,1991,Male,100,1,1,9,917.0528370590778,05/02/2023,11:52:33
sweden,1932,1991,Male,100,1,1,10,893.9184924832342,05/02/2023,11:52:33
sweden,1932,1991,Male,100,1,3,1,420.37722509929677,05/02/2023,11:53:28
sweden,1932,1991,Male,100,1,3,2,438.5433376324078,05/02/2023,11:53:28
sweden,1932,1991,Male,100,1,3,3,466.71864264225866,05/02/2023,11:53:28
sweden,1932,1991,Male,100,1,3,4,460.0949744693407,05/02/2023,11:53:28
sweden,1932,1991,Male,100,1,3,5,480.3759031450405,05/02/2023,11:53:28
sweden,1932,1991,Male,100,1,3,6,488.6434827507296,05/02/2023,11:53:28
sweden,1932,1991,Male,100,1,3,7,481.7658207616704,05/02/2023,11:53:28
sweden,1932,1991,Male,100,1,3,8,489.5609194719004,05/02/2023,11:53:28
sweden,1932,1991,Male,100,1,3,9,514.8912588544454,05/02/2023,11:53:28
sweden,1932,1991,Male,100,1,3,10,521.6928072777995,05/02/2023,11:53:28
sweden,1932,1991,Male,100,1,4,1,413.8527167454695,05/02/2023,12:03:44
sweden,1932,1991,Male,100,1,4,2,432.8146118949846,05/02/2023,12:03:44
sweden,1932,1991,Male,100,1,4,3,457.8014509526634,05/02/2023,12:03:44
sweden,1932,1991,Male,100,1,4,4,460.2924909269285,05/02/2023,12:03:44
sweden,1932,1991,Male,100,1,4,5,479.98249724415086,05/02/2023,12:03:44
sweden,1932,1991,Male,100,1,4,6,489.7084411017718,05/02/2023,12:03:44
sweden,1932,1991,Male,100,1,4,7,496.48477458773385,05/02/2023,12:03:44
sweden,1932,1991,Male,100,1,4,8,502.73157073279816,05/02/2023,12:03:44
sweden,1932,1991,Male,100,1,4,9,528.1846011073419,05/02/2023,12:03:44
sweden,1932,1991,Male,100,1,4,10,533.938733403412,05/02/2023,12:03:44
sweden,1932,1991,Male,100,1,5,1,422.84901744344415,05/02/2023,21:32:04
sweden,1932,1991,Male,100,1,5,2,440.8881041056528,05/02/2023,21:32:04
sweden,1932,1991,Male,100,1,5,3,471.2845847347975,05/02/2023,21:32:04
sweden,1932,1991,Male,100,1,5,4,470.41999342917313,05/02/2023,21:32:04
sweden,1932,1991,Male,100,1,5,5,490.44683226555867,05/02/2023,21:32:04
sweden,1932,1991,Male,100,1,5,6,501.63159142969545,05/02/2023,21:32:04
sweden,1932,1991,Male,100,1,5,7,508.36426322303237,05/02/2023,21:32:04
sweden,1932,1991,Male,100,1,5,8,515.3147554972362,05/02/2023,21:32:04
sweden,1932,1991,Male,100,1,5,9,537.2776777879009,05/02/2023,21:32:04
sweden,1932,1991,Male,100,1,5,10,547.3433704659994,05/02/2023,21:32:04
sweden,1932,1991,Male,100,1,6,1,413.569933884194,05/02/2023,21:52:52
sweden,1932,1991,Male,100,1,6,2,428.82627740412033,05/02/2023,21:52:52
sweden,1932,1991,Male,100,1,6,3,453.33640346713184,05/02/2023,21:52:52
sweden,1932,1991,Male,100,1,6,4,453.52672345027315,05/02/2023,21:52:52
sweden,1932,1991,Male,100,1,6,5,470.07135859200275,05/02/2023,21:52:52
sweden,1932,1991,Male,100,1,6,6,481.26843843432965,05/02/2023,21:52:52
sweden,1932,1991,Male,100,1,6,7,486.20142542168094,05/02/2023,21:52:52
sweden,1932,1991,Male,100,1,6,8,491.00170430221954,05/02/2023,21:52:52
sweden,1932,1991,Male,100,1,6,9,510.2591039715884,05/02/2023,21:52:52
sweden,1932,1991,Male,100,1,6,10,515.9590118964519,05/02/2023,21:52:52
sweden,1932,1991,Male,100,1,8,1,417.0593943602034,05/02/2023,22:05:21
sweden,1932,1991,Male,100,1,8,2,437.4384592309439,05/02/2023,22:05:21
sweden,1932,1991,Male,100,1,8,3,452.4585363518951,05/02/2023,22:05:21
