Country,first_year_train,last_year_train,Sex,max_age,nn_layers,latent_dim,Forecast horizon,Log score,Date,Time
sweden,1920,1979,Male,100,1,8,1,429.24812598170917,30/01/2023,21:49:44
sweden,1920,1979,Male,100,1,8,2,437.175552248984,30/01/2023,21:49:44
sweden,1920,1979,Male,100,1,8,3,457.76964379036644,30/01/2023,21:49:44
sweden,1920,1979,Male,100,1,8,4,473.2675165296154,30/01/2023,21:49:44
sweden,1920,1979,Male,100,1,8,5,479.8070057499789,30/01/2023,21:49:44
sweden,1920,1979,Male,100,1,8,6,475.236633936302,30/01/2023,21:49:44
sweden,1920,1979,Male,100,1,8,7,485.48184585945836,30/01/2023,21:49:44
sweden,1920,1979,Male,100,1,8,8,489.0384299000795,30/01/2023,21:49:44
sweden,1920,1979,Male,100,1,8,9,491.64149742157673,30/01/2023,21:49:44
sweden,1920,1979,Male,100,1,8,10,518.0831072925391,30/01/2023,21:49:44
sweden,1920,1979,Male,100,1,6,1,421.92939826041345,30/01/2023,21:51:55
sweden,1920,1979,Male,100,1,6,2,422.97728630199964,30/01/2023,21:51:55
sweden,1920,1979,Male,100,1,6,3,441.2336395126496,30/01/2023,21:51:55
sweden,1920,1979,Male,100,1,6,4,458.0900472940508,30/01/2023,21:51:55
sweden,1920,1979,Male,100,1,6,5,465.8390985298536,30/01/2023,21:51:55
sweden,1920,1979,Male,100,1,6,6,460.4148439308819,30/01/2023,21:51:55
sweden,1920,1979,Male,100,1,6,7,473.44931851804824,30/01/2023,21:51:55
sweden,1920,1979,Male,100,1,6,8,480.07681344370803,30/01/2023,21:51:55
sweden,1920,1979,Male,100,1,6,9,481.42402100689685,30/01/2023,21:51:55
sweden,1920,1979,Male,100,1,6,10,510.92260712412593,30/01/2023,21:51:55
sweden,1920,1979,Male,100,1,4,1,429.2188402824863,30/01/2023,21:52:43
sweden,1920,1979,Male,100,1,4,2,424.586293757469,30/01/2023,21:52:43
sweden,1920,1979,Male,100,1,4,3,447.2194399158329,30/01/2023,21:52:43
sweden,1920,1979,Male,100,1,4,4,460.7276967226477,30/01/2023,21:52:43
sweden,1920,1979,Male,100,1,4,5,468.2155786490956,30/01/2023,21:52:43
sweden,1920,1979,Male,100,1,4,6,462.3560330165483,30/01/2023,21:52:43
sweden,1920,1979,Male,100,1,4,7,474.11313806989506,30/01/2023,21:52:43
sweden,1920,1979,Male,100,1,4,8,486.22865645616923,30/01/2023,21:52:43
sweden,1920,1979,Male,100,1,4,9,484.89299015426786,30/01/2023,21:52:43
sweden,1920,1979,Male,100,1,4,10,513.0070002517771,30/01/2023,21:52:43
sweden,1920,1979,Male,100,1,2,1,430.34071172076926,30/01/2023,21:52:45
sweden,1920,1979,Male,100,1,2,2,422.7038939162939,30/01/2023,21:52:45
sweden,1920,1979,Male,100,1,2,3,457.2321181463096,30/01/2023,21:52:45
sweden,1920,1979,Male,100,1,2,4,486.6423486071616,30/01/2023,21:52:45
sweden,1920,1979,Male,100,1,2,5,521.8502103652716,30/01/2023,21:52:45
sweden,1920,1979,Male,100,1,2,6,488.1756834769509,30/01/2023,21:52:45
sweden,1920,1979,Male,100,1,2,7,521.546380752201,30/01/2023,21:52:45
sweden,1920,1979,Male,100,1,2,8,571.3832021880754,30/01/2023,21:52:45
sweden,1920,1979,Male,100,1,2,9,549.1544447207394,30/01/2023,21:52:45
sweden,1920,1979,Male,100,1,2,10,731.7975555252717,30/01/2023,21:52:45
sweden,1920,1979,Male,100,1,3,1,427.4002175729598,30/01/2023,21:53:34
sweden,1920,1979,Male,100,1,3,2,419.9485663453224,30/01/2023,21:53:34
sweden,1920,1979,Male,100,1,3,3,441.60870916763986,30/01/2023,21:53:34
sweden,1920,1979,Male,100,1,3,4,459.6975893024846,30/01/2023,21:53:34
sweden,1920,1979,Male,100,1,3,5,469.1357768502081,30/01/2023,21:53:34
sweden,1920,1979,Male,100,1,3,6,458.21707546745375,30/01/2023,21:53:34
sweden,1920,1979,Male,100,1,3,7,475.5953999539085,30/01/2023,21:53:34
sweden,1920,1979,Male,100,1,3,8,487.43184602822436,30/01/2023,21:53:34
sweden,1920,1979,Male,100,1,3,9,486.2915027624452,30/01/2023,21:53:34
sweden,1920,1979,Male,100,1,3,10,524.6189581216923,30/01/2023,21:53:34
sweden,1920,1979,Male,100,1,1,1,493.6292123298369,30/01/2023,21:53:44
sweden,1920,1979,Male,100,1,1,2,463.79761312403264,30/01/2023,21:53:44
sweden,1920,1979,Male,100,1,1,3,508.272825543085,30/01/2023,21:53:44
sweden,1920,1979,Male,100,1,1,4,525.0988287722818,30/01/2023,21:53:44
sweden,1920,1979,Male,100,1,1,5,596.0590128175046,30/01/2023,21:53:44
sweden,1920,1979,Male,100,1,1,6,505.8916242843266,30/01/2023,21:53:44
sweden,1920,1979,Male,100,1,1,7,570.6238043987751,30/01/2023,21:53:44
sweden,1920,1979,Male,100,1,1,8,627.3508877113512,30/01/2023,21:53:44
sweden,1920,1979,Male,100,1,1,9,587.4183639492163,30/01/2023,21:53:44
sweden,1920,1979,Male,100,1,1,10,816.6684583516269,30/01/2023,21:53:44
sweden,1920,1979,Male,100,1,7,1,422.2263613561209,30/01/2023,21:54:02
sweden,1920,1979,Male,100,1,7,2,427.951873855458,30/01/2023,21:54:02
sweden,1920,1979,Male,100,1,7,3,447.1748827795116,30/01/2023,21:54:02
sweden,1920,1979,Male,100,1,7,4,462.93467792019584,30/01/2023,21:54:02
sweden,1920,1979,Male,100,1,7,5,473.01060882105503,30/01/2023,21:54:02
sweden,1920,1979,Male,100,1,7,6,466.29736034179626,30/01/2023,21:54:02
sweden,1920,1979,Male,100,1,7,7,478.0315725504724,30/01/2023,21:54:02
sweden,1920,1979,Male,100,1,7,8,484.7489838489567,30/01/2023,21:54:02
sweden,1920,1979,Male,100,1,7,9,487.2795124908621,30/01/2023,21:54:02
sweden,1920,1979,Male,100,1,7,10,514.7801170966264,30/01/2023,21:54:02
sweden,1920,1979,Male,100,1,5,1,424.7628467323256,30/01/2023,21:54:23
sweden,1920,1979,Male,100,1,5,2,426.2997393606341,30/01/2023,21:54:23
sweden,1920,1979,Male,100,1,5,3,448.42067207891944,30/01/2023,21:54:23
sweden,1920,1979,Male,100,1,5,4,463.1265988781278,30/01/2023,21:54:23
sweden,1920,1979,Male,100,1,5,5,473.2700848606277,30/01/2023,21:54:23
sweden,1920,1979,Male,100,1,5,6,465.7485346536275,30/01/2023,21:54:23
sweden,1920,1979,Male,100,1,5,7,477.9300983171235,30/01/2023,21:54:23
sweden,1920,1979,Male,100,1,5,8,486.57676333964383,30/01/2023,21:54:23
sweden,1920,1979,Male,100,1,5,9,487.33463907615516,30/01/2023,21:54:23
sweden,1920,1979,Male,100,1,5,10,521.5285863488651,30/01/2023,21:54:23
sweden,1920,1979,Male,100,1,9,1,420.827924946229,31/01/2023,08:05:03
sweden,1920,1979,Male,100,1,9,2,423.832310446759,31/01/2023,08:05:03
sweden,1920,1979,Male,100,1,9,3,441.4277851623721,31/01/2023,08:05:03
sweden,1920,1979,Male,100,1,9,4,456.1967518058093,31/01/2023,08:05:03
sweden,1920,1979,Male,100,1,9,5,466.96721282326376,31/01/2023,08:05:03
sweden,1920,1979,Male,100,1,9,6,459.8487237434749,31/01/2023,08:05:03
sweden,1920,1979,Male,100,1,9,7,477.1001585632675,31/01/2023,08:05:03
sweden,1920,1979,Male,100,1,9,8,481.80322375196783,31/01/2023,08:05:03
sweden,1920,1979,Male,100,1,9,9,483.0335540439415,31/01/2023,08:05:03
sweden,1920,1979,Male,100,1,9,10,506.0214491780537,31/01/2023,08:05:03
