Country,first_year_train,last_year_train,Sex,max_age,nn_layers,latent_dim,Forecast horizon,Log score,Date,Time
sweden,1926,1985,Male,100,0,0,5,-628.0987418236865,03/47/2023,15:47:16
sweden,1926,1985,Male,100,0,0,6,-646.5821636793344,03/47/2023,15:47:16
sweden,1926,1985,Male,100,0,0,7,-696.899124902767,03/47/2023,15:47:16
sweden,1926,1985,Male,100,0,0,8,-708.0583049091222,03/47/2023,15:47:16
sweden,1926,1985,Male,100,0,0,9,-927.1950278151231,03/47/2023,15:47:16
sweden,1926,1985,Male,100,0,0,10,-890.7506829796398,03/47/2023,15:47:16
sweden,1927,1986,Male,100,0,0,1,-539.0130013913227,03/48/2023,15:48:20
sweden,1927,1986,Male,100,0,0,2,-518.3073319994446,03/48/2023,15:48:20
sweden,1927,1986,Male,100,0,0,3,-690.180787399387,03/48/2023,15:48:20
sweden,1927,1986,Male,100,0,0,4,-614.1135792505985,03/48/2023,15:48:20
sweden,1927,1986,Male,100,0,0,5,-632.5580157226399,03/48/2023,15:48:20
sweden,1927,1986,Male,100,0,0,6,-676.1283936450145,03/48/2023,15:48:20
sweden,1927,1986,Male,100,0,0,7,-686.9002572136192,03/48/2023,15:48:20
sweden,1927,1986,Male,100,0,0,8,-890.0594431548419,03/48/2023,15:48:20
sweden,1927,1986,Male,100,0,0,9,-848.2940225051499,03/48/2023,15:48:20
sweden,1927,1986,Male,100,0,0,10,-922.0983070263226,03/48/2023,15:48:20
sweden,1928,1987,Male,100,0,0,1,-514.2581708647157,03/49/2023,15:49:24
sweden,1928,1987,Male,100,0,0,2,-670.4389017130538,03/49/2023,15:49:24
sweden,1928,1987,Male,100,0,0,3,-592.5150969383823,03/49/2023,15:49:24
sweden,1928,1987,Male,100,0,0,4,-609.8522504153601,03/49/2023,15:49:24
sweden,1928,1987,Male,100,0,0,5,-645.1762317852257,03/49/2023,15:49:24
sweden,1928,1987,Male,100,0,0,6,-661.4811555096459,03/49/2023,15:49:24
sweden,1928,1987,Male,100,0,0,7,-849.1795914669846,03/49/2023,15:49:24
sweden,1928,1987,Male,100,0,0,8,-798.6287333078858,03/49/2023,15:49:24
sweden,1928,1987,Male,100,0,0,9,-860.4498976696044,03/49/2023,15:49:24
sweden,1928,1987,Male,100,0,0,10,-914.1779999970009,03/49/2023,15:49:24
sweden,1929,1988,Male,100,0,0,1,-688.7857126172677,03/50/2023,15:50:29
sweden,1929,1988,Male,100,0,0,2,-601.768957388503,03/50/2023,15:50:29
sweden,1929,1988,Male,100,0,0,3,-619.2460407860292,03/50/2023,15:50:29
sweden,1929,1988,Male,100,0,0,4,-660.9349007216448,03/50/2023,15:50:29
sweden,1929,1988,Male,100,0,0,5,-673.280581974308,03/50/2023,15:50:29
sweden,1929,1988,Male,100,0,0,6,-875.6037996759234,03/50/2023,15:50:29
sweden,1929,1988,Male,100,0,0,7,-835.7044050788986,03/50/2023,15:50:29
sweden,1929,1988,Male,100,0,0,8,-921.4167782345698,03/50/2023,15:50:29
sweden,1929,1988,Male,100,0,0,9,-963.3148360828665,03/50/2023,15:50:29
sweden,1929,1988,Male,100,0,0,10,-995.9089070797542,03/50/2023,15:50:29
sweden,1930,1989,Male,100,0,0,1,-553.0642179266538,03/51/2023,15:51:32
sweden,1930,1989,Male,100,0,0,2,-555.9183092338202,03/51/2023,15:51:32
sweden,1930,1989,Male,100,0,0,3,-556.6438845052868,03/51/2023,15:51:32
sweden,1930,1989,Male,100,0,0,4,-581.0318679807699,03/51/2023,15:51:32
sweden,1930,1989,Male,100,0,0,5,-700.799274772782,03/51/2023,15:51:32
sweden,1930,1989,Male,100,0,0,6,-658.0371171756594,03/51/2023,15:51:32
sweden,1930,1989,Male,100,0,0,7,-707.3631458807661,03/51/2023,15:51:32
sweden,1930,1989,Male,100,0,0,8,-734.710641281347,03/51/2023,15:51:32
sweden,1930,1989,Male,100,0,0,9,-769.1540253335405,03/51/2023,15:51:32
sweden,1930,1989,Male,100,0,0,10,-808.747583473113,03/51/2023,15:51:32
sweden,1931,1990,Male,100,0,0,1,-541.2146505848929,03/52/2023,15:52:36
sweden,1931,1990,Male,100,0,0,2,-544.7457147153806,03/52/2023,15:52:36
sweden,1931,1990,Male,100,0,0,3,-564.4409600328738,03/52/2023,15:52:36
sweden,1931,1990,Male,100,0,0,4,-680.1904772338802,03/52/2023,15:52:36
sweden,1931,1990,Male,100,0,0,5,-639.6037289689388,03/52/2023,15:52:36
sweden,1931,1990,Male,100,0,0,6,-683.7457310813242,03/52/2023,15:52:36
sweden,1931,1990,Male,100,0,0,7,-709.6197993931928,03/52/2023,15:52:36
sweden,1931,1990,Male,100,0,0,8,-742.6514792724668,03/52/2023,15:52:36
sweden,1931,1990,Male,100,0,0,9,-789.4487380728136,03/52/2023,15:52:36
sweden,1931,1990,Male,100,0,0,10,-911.8364348037329,03/52/2023,15:52:36
sweden,1932,1991,Male,100,0,0,1,-533.4168380527063,03/53/2023,15:53:40
sweden,1932,1991,Male,100,0,0,2,-551.8174248205257,03/53/2023,15:53:40
sweden,1932,1991,Male,100,0,0,3,-665.78110535532,03/53/2023,15:53:40
sweden,1932,1991,Male,100,0,0,4,-623.7377251383929,03/53/2023,15:53:40
sweden,1932,1991,Male,100,0,0,5,-670.4170784128443,03/53/2023,15:53:40
sweden,1932,1991,Male,100,0,0,6,-701.6083329991661,03/53/2023,15:53:40
sweden,1932,1991,Male,100,0,0,7,-734.4236468455393,03/53/2023,15:53:40
sweden,1932,1991,Male,100,0,0,8,-778.7074502798869,03/53/2023,15:53:40
sweden,1932,1991,Male,100,0,0,9,-898.0612803793557,03/53/2023,15:53:40
sweden,1932,1991,Male,100,0,0,10,-973.191548025279,03/53/2023,15:53:40
sweden,1933,1992,Male,100,0,0,1,-541.8816789505383,03/54/2023,15:54:43
sweden,1933,1992,Male,100,0,0,2,-614.2612470700755,03/54/2023,15:54:43
sweden,1933,1992,Male,100,0,0,3,-574.0657187247107,03/54/2023,15:54:43
sweden,1933,1992,Male,100,0,0,4,-610.1408002971746,03/54/2023,15:54:43
sweden,1933,1992,Male,100,0,0,5,-631.8945065677689,03/54/2023,15:54:43
sweden,1933,1992,Male,100,0,0,6,-659.0298577098936,03/54/2023,15:54:43
sweden,1933,1992,Male,100,0,0,7,-697.8416894498695,03/54/2023,15:54:43
sweden,1933,1992,Male,100,0,0,8,-786.3442404150913,03/54/2023,15:54:43
sweden,1933,1992,Male,100,0,0,9,-843.8315659662269,03/54/2023,15:54:43
sweden,1933,1992,Male,100,0,0,10,-820.8881113954166,03/54/2023,15:54:43
sweden,1934,1993,Male,100,0,0,1,-614.4444614282772,03/55/2023,15:55:46
sweden,1934,1993,Male,100,0,0,2,-567.2440403624248,03/55/2023,15:55:46
sweden,1934,1993,Male,100,0,0,3,-600.8775190756202,03/55/2023,15:55:46
sweden,1934,1993,Male,100,0,0,4,-623.2010653427056,03/55/2023,15:55:46
sweden,1934,1993,Male,100,0,0,5,-645.9373207947945,03/55/2023,15:55:46
sweden,1934,1993,Male,100,0,0,6,-676.2291700797094,03/55/2023,15:55:46
sweden,1934,1993,Male,100,0,0,7,-765.506345228642,03/55/2023,15:55:46
sweden,1934,1993,Male,100,0,0,8,-802.335017252425,03/55/2023,15:55:46
sweden,1934,1993,Male,100,0,0,9,-795.3466593370405,03/55/2023,15:55:46
sweden,1934,1993,Male,100,0,0,10,-822.5173124429117,03/55/2023,15:55:46
sweden,1935,1994,Male,100,0,0,1,-533.7209514597057,03/56/2023,15:56:49
sweden,1935,1994,Male,100,0,0,2,-535.4844651043478,03/56/2023,15:56:49
sweden,1935,1994,Male,100,0,0,3,-542.8043466044292,03/56/2023,15:56:49
sweden,1935,1994,Male,100,0,0,4,-565.5968073353164,03/56/2023,15:56:49
sweden,1935,1994,Male,100,0,0,5,-586.2815520208619,03/56/2023,15:56:49
sweden,1935,1994,Male,100,0,0,6,-648.9047419093537,03/56/2023,15:56:49
sweden,1935,1994,Male,100,0,0,7,-682.3722382007923,03/56/2023,15:56:49
sweden,1935,1994,Male,100,0,0,8,-675.1582557391895,03/56/2023,15:56:49
sweden,1935,1994,Male,100,0,0,9,-668.6660762866695,03/56/2023,15:56:49
sweden,1935,1994,Male,100,0,0,10,-746.2800379095756,03/56/2023,15:56:49
sweden,1936,1995,Male,100,0,0,1,-523.9235137488934,03/57/2023,15:57:52
sweden,1936,1995,Male,100,0,0,2,-534.9453803021706,03/57/2023,15:57:52
sweden,1936,1995,Male,100,0,0,3,-554.3135652795758,03/57/2023,15:57:52
sweden,1936,1995,Male,100,0,0,4,-572.7505249537006,03/57/2023,15:57:52
sweden,1936,1995,Male,100,0,0,5,-636.2233014169375,03/57/2023,15:57:52
sweden,1936,1995,Male,100,0,0,6,-668.9110264054596,03/57/2023,15:57:52
sweden,1936,1995,Male,100,0,0,7,-661.357226131255,03/57/2023,15:57:52
sweden,1936,1995,Male,100,0,0,8,-645.7475391955636,03/57/2023,15:57:52
sweden,1936,1995,Male,100,0,0,9,-729.2676792189725,03/57/2023,15:57:52
sweden,1936,1995,Male,100,0,0,10,-711.570328859894,03/57/2023,15:57:52
sweden,1937,1996,Male,100,0,0,1,-521.2574818200379,03/58/2023,15:58:56
sweden,1937,1996,Male,100,0,0,2,-536.7683700733902,03/58/2023,15:58:56
sweden,1937,1996,Male,100,0,0,3,-551.6353248280003,03/58/2023,15:58:56
sweden,1937,1996,Male,100,0,0,4,-609.9636918880368,03/58/2023,15:58:56
sweden,1937,1996,Male,100,0,0,5,-638.3759250599436,03/58/2023,15:58:56
sweden,1937,1996,Male,100,0,0,6,-636.0329979806443,03/58/2023,15:58:56
sweden,1937,1996,Male,100,0,0,7,-616.0517125724134,03/58/2023,15:58:56
sweden,1937,1996,Male,100,0,0,8,-688.3244325581647,03/58/2023,15:58:56
sweden,1937,1996,Male,100,0,0,9,-679.6187326722327,03/58/2023,15:58:56
sweden,1937,1996,Male,100,0,0,10,-706.6807592602918,03/58/2023,15:58:56
sweden,1938,1997,Male,100,0,0,1,-526.9996796345886,03/59/2023,15:59:59
sweden,1938,1997,Male,100,0,0,2,-538.3942467154486,03/59/2023,15:59:59
sweden,1938,1997,Male,100,0,0,3,-595.646026734469,03/59/2023,15:59:59
sweden,1938,1997,Male,100,0,0,4,-615.1232095935026,03/59/2023,15:59:59
sweden,1938,1997,Male,100,0,0,5,-617.4621067435817,03/59/2023,15:59:59
sweden,1938,1997,Male,100,0,0,6,-589.966997526899,03/59/2023,15:59:59
sweden,1938,1997,Male,100,0,0,7,-649.1963358832015,03/59/2023,15:59:59
sweden,1938,1997,Male,100,0,0,8,-645.9269768234551,03/59/2023,15:59:59
sweden,1938,1997,Male,100,0,0,9,-669.0492197299874,03/59/2023,15:59:59
sweden,1938,1997,Male,100,0,0,10,-714.9455066395694,03/59/2023,15:59:59
sweden,1939,1998,Male,100,0,0,1,-529.3772543669851,03/01/2023,16:01:02
sweden,1939,1998,Male,100,0,0,2,-580.9953605538119,03/01/2023,16:01:02
sweden,1939,1998,Male,100,0,0,3,-599.5391104033721,03/01/2023,16:01:02
sweden,1939,1998,Male,100,0,0,4,-603.7084531617088,03/01/2023,16:01:02
sweden,1939,1998,Male,100,0,0,5,-576.0465693502682,03/01/2023,16:01:02
sweden,1939,1998,Male,100,0,0,6,-632.0329823941333,03/01/2023,16:01:02
sweden,1939,1998,Male,100,0,0,7,-630.7982471332365,03/01/2023,16:01:02
sweden,1939,1998,Male,100,0,0,8,-647.4441432324605,03/01/2023,16:01:02
sweden,1939,1998,Male,100,0,0,9,-690.0390928874343,03/01/2023,16:01:02
sweden,1939,1998,Male,100,0,0,10,-697.508854451135,03/01/2023,16:01:02
sweden,1940,1999,Male,100,0,0,1,-572.4155416131406,03/02/2023,16:02:06
sweden,1940,1999,Male,100,0,0,2,-586.6098836079179,03/02/2023,16:02:06
sweden,1940,1999,Male,100,0,0,3,-587.499537127477,03/02/2023,16:02:06
sweden,1940,1999,Male,100,0,0,4,-558.0077861015029,03/02/2023,16:02:06
sweden,1940,1999,Male,100,0,0,5,-617.6882436782299,03/02/2023,16:02:06
sweden,1940,1999,Male,100,0,0,6,-612.8755104355167,03/02/2023,16:02:06
sweden,1940,1999,Male,100,0,0,7,-625.7528490777264,03/02/2023,16:02:06
sweden,1940,1999,Male,100,0,0,8,-664.9410524304876,03/02/2023,16:02:06
sweden,1940,1999,Male,100,0,0,9,-671.4019221029172,03/02/2023,16:02:06
sweden,1940,1999,Male,100,0,0,10,-734.6800703215358,03/02/2023,16:02:06
sweden,1941,2000,Male,100,0,0,1,-576.0440964629322,03/03/2023,16:03:09
sweden,1941,2000,Male,100,0,0,2,-572.1527031084169,03/03/2023,16:03:09
sweden,1941,2000,Male,100,0,0,3,-540.8672103885935,03/03/2023,16:03:09
sweden,1941,2000,Male,100,0,0,4,-582.0701311150201,03/03/2023,16:03:09
sweden,1941,2000,Male,100,0,0,5,-584.3483080027424,03/03/2023,16:03:09
sweden,1941,2000,Male,100,0,0,6,-591.0713109317579,03/03/2023,16:03:09
sweden,1941,2000,Male,100,0,0,7,-617.0516933075029,03/03/2023,16:03:09
